据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,客INC,规格型号,产品名称,注残数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,2,20211229,20211124,OUT,ACE,8000,123143100,PSL-D-40,12,RMB,521,,2602,MPTJ,OUT,,,1
MPSH,2,20211229,20211110,OUT,ACE,8000,123143100,PSL-D-40,5,RMB,521,,2602,MPTJ,OUT,,,2
MPSH,2,20211229,20220105,OUT,ACE,8000,,AK-124-MAT-14K,5,RMB,274,,3101,MPTJ,OUT,,,3
MPSH,2,20211229,20220112,OUT,ACE,8000,123143100,PSL-D-40,40,RMB,521,,2602,MPTJ,OUT,,,4
MPSH,2,20211229,20220112,OUT,ACE,8000,123149600,PSL-K-8,4,RMB,123,,2602,MPTJ,OUT,,,5
MPSH,2,20211229,20220105,OUT,ACE,8000,121568100,SFC-030SA2-6B-10B,3,RMB,97,,2301,MPTJ,OUT,,,6
MPSH,2,20211229,20220204,OUT,ACE,8000,129826300,SFH-260S 60H-60H海外,1,RMB,7325,,2302,MPJP,IN,,,7
MPSH,2,20211229,20211208,OUT,ACE,8000,123143100,PSL-D-40,8,RMB,521,,2602,MPTJ,OUT,,,8
MPSH,2,20211229,20211215,OUT,ACE,8000,121265300,SFF-100SS-32K-32K,3,RMB,442,,2302,MPTJ,OUT,,,9
MPSH,2,20211229,20211222,OUT,ACE,8000,123143100,PSL-D-40,8,RMB,521,,2602,MPTJ,OUT,,,10
MPSH,2,20211229,20220121,OUT,ACE,8000,126877800,TT-1X-03-12H-3NM-P,1,RMB,990,,3105,MPJP,IN,,,11
MPSH,2,20211229,20220121,OUT,ACE,8000,103191100,102-05-13 24V 10DIN,5,RMB,248,,1101,MPJP,IN,,,12
MPSH,2,20211229,20211229,OUT,ACE,8000,123432700,CS-10-31G 24V R20DIN A20DIN,4,RMB,456,,1301,MPTJ,OUT,,,13
MPSH,2,20211229,20211027,OUT,ACE,8000,,SFF-100SS-32KK-45K,30,RMB,370,,2302,MPTJ,OUT,威达重工,1010,14
MPSH,2,20211229,20211217,OUT,ACE,8000,130003300,SFF-140DS-40KK-50K-800N,20,RMB,1034,,2302,MPJP,IN,济南二机床,1010,15
MPSH,2,20211229,20211229,OUT,ACE,8000,123145700,PSL-G-24,28,RMB,74,,2602,MPTJ,OUT,青岛高测,1010,16
MPSH,2,20211229,20211220,OUT,JINGJI,1200,121461600,SFC-030SA2-10B-14B,800,RMB,47,,2301,MPTJ,OUT,精技工业,1290,17
MPSH,2,20211229,20220121,OUT,ACE,8000,130003300,SFF-140DS-40KK-50K-800N,2,RMB,1034,,2302,MPJP,IN,济南二机床,1010,18
MPSH,2,20211229,20211229,OUT,ACE,8000,,SFF-100SS-32KK-45K,30,RMB,370,,2302,MPTJ,OUT,威达重工,1010,19
MPSH,2,20211229,20220302,OUT,NICHIDEN,8000,104298200,CF-X-008-OB,100,RMB,291,,2101,MPJP,IN,罗姆半导体,1190,20
MPSH,2,20211229,20220103,OUT,NICHIDEN,8000,125731500,SFC-025SA2-12B-12B,2,RMB,111,,2301,MPTJ,OUT,TOWA半导体,1190,21
MPSH,2,20211229,20220106,OUT,TOYO AUTOMATION,8000,121461600,SFC-030SA2-10B-14B,2000,RMB,37.0973,,2301,MPTJ,OUT,东佑达,1210,22
MPSH,2,20211229,20220125,OUT,AMADA,1000,100124900,PE-250-P,30,RMB,2202.59,,3101,MPJP,IN,天田机床,1090,23
MPSH,2,20211229,20220410,OUT,BANGSHENG,8000,661967,318.35.4.4(661967),50,RMB,1680,,1501,其他,OUT,常德烟草,9090,24
MPSH,2,20211229,20220307,OUT,NING ZHI SHENG,0100,124757600,BXR-06-10-005-24V-20DIN,9,RMB,526,,1401,MPJP,IN,沈阳新松,0140,25
MPSH,2,20211229,20211220,OUT,ANSEN,8000,,SFF-100DS-48KK-55KM,120,RMB,465,,2302,MPTJ,OUT,华都精工,1090,26
MPSH,2,20211229,20211122,OUT,ANSEN,8000,,SFF-100DS-48KK-55KM,100,RMB,465,,2302,MPTJ,OUT,华都精工,1090,27
MPSH,2,20211229,20211220,OUT,ANSEN,8000,,SFF-100DS-48KK-55KM,176,RMB,465,,2302,MPTJ,OUT,华都精工,1090,28
MPSH,2,20211229,20220430,OUT,ANSEN,8000,,CPG-030-T007B-07,5000,RMB,8,,2901,MPTJ,OUT,南京埃斯顿,0140,29
MPSH,2,20211229,20220630,,YEENROBOT,8000,129642000,SFF-120DS-40B-50B-600N,10,RMB,2400,,2302,MPJP,IN,上海衍恩智能,1090,30
MPSH,2,20211229,20220115,OUT,TAKAMAZZHANGHZ,1000,121850700,SFC-050SA2-14B-15B,20,RMB,202.564,,2301,MPTJ,OUT,友嘉高松,1090,31
MPSH,2,20211229,20220208,OUT,MISUMI,8000,121847600,SFC-060SA2-22B-24B,11,RMB,257.26,,2301,MPTJ,OUT,米思米,8020,32
MPSH,2,20211229,20211229,OUT,MISUMI,8000,121847600,SFC-060SA2-22B-24B,11,RMB,257.26,,2301,MPTJ,OUT,米思米,8020,33
MPSH,2,20211229,20220228,OUT,YAMAZEN-SH,8000,,SFC-035SA2-12B-18B,40,RMB,104,,2301,MPTJ,OUT,岛津,1510,34
MPSH,2,20211229,20220125,OUT,OKUMA,1000,,SFF-080DS-T003,14,RMB,447,,2302,MPTJ,OUT,北一大隈,1090,35
MPSH,2,20211229,20220104,OUT,OKUMA,1000,,SFF-080DS-T003,1,RMB,447,,2302,MPTJ,OUT,北一大隈,1090,36
MPSH,2,20211229,20210720,OUT,POLYSTAR,1900,,FR-D720-0.2K,40,RMB,507.0796,,3301,其他,OUT,包利思特,1910,37
MPSH,2,20211229,20210730,OUT,POLYSTAR,1900,,Q6BAT,15,RMB,182.3009,,3302,其他,OUT,包利思特,1910,38
MPSH,2,20211229,20210730,OUT,POLYSTAR,1900,,GT11-50BAT,15,RMB,223.8938,,3302,其他,OUT,包利思特,1910,39
MPSH,2,20211229,20211120,OUT,POLYSTAR,1900,,FR-D720-0.2K,10,RMB,507.0796,,3301,其他,OUT,包利思特,1910,40
MPSH,2,20211229,20220130,OUT,POLYSTAR,1900,,FR-D720-0.2K,5,RMB,507.0796,,3301,其他,OUT,包利思特,1910,41
MPSH,2,20211229,20220107,OUT,ACE,8000,129629400,SFF-120DS-35K-40K-600N,20,RMB,876,,2302,MPJP,IN,,,42
MPSH,2,20211229,20220112,OUT,ACE,8000,,111-06-12N 24V 15DIN,60,RMB,127,,1301,MPTJ,OUT,,,43
MPSH,2,20211229,20211229,OUT,ACE,8000,,111-06-13N 24V,30,RMB,103,,1301,MPTJ,OUT,,,44
MPSH,2,20211229,20211229,OUT,ACE,8000,,111-10-13N 24V,10,RMB,142,,1301,MPTJ,OUT,,,45
MPSH,2,20211229,20211215,OUT,ACE,8000,,SFF-100DS-38KK-42KK,66,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,46
MPSH,2,20211229,20211201,OUT,ACE,8000,,SFF-100DS-38KK-42KK,40,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,47
MPSH,2,20211229,20211229,OUT,ACE,8000,,SFF-100DS-38KK-42KK,2,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,48
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFF-100DS-38KK-42KK,85,RMB,458,,2302,MPTJ,OUT,青岛高测,1010,49
MPSH,2,20211229,20220304,OUT,ACE,8000,123420600,101-20-13G 24V 40DIN,2,RMB,1663,,1301,MPJP,IN,,,50
MPSH,2,20211229,20220105,OUT,ACE,8000,,PE-124-MAT-15H,1,RMB,215,,3101,MPTJ,OUT,,,51
MPSH,2,20211229,20220204,OUT,ACE,8000,103180300,102-04-13 24V 10DIN,64,RMB,151,,1101,MPJP,IN,深圳迈瑞,1410,52
MPSH,2,20211229,20220106,OUT,NICHIDEN,8000,122557200,SFC-010DA2-4.5B-6B,10,RMB,132,,2301,MPTJ,OUT,丝路咖,1130,53
MPSH,2,20211229,20220106,OUT,NICHIDEN,8000,121386100,SFC-030DA2-8B-14B,10,RMB,151,,2301,MPTJ,OUT,嘉睦电子,0190,54
MPSH,2,20211229,20220121,OUT,NICHIDEN,8000,121386100,SFC-030DA2-8B-14B,6,RMB,151,,2301,MPTJ,OUT,芯笙半导体,1190,55
MPSH,2,20211229,20220106,OUT,SHINMAYWA,1900,121375500,SFC-020DA2-6B-8B,10,RMB,148,,2301,MPTJ,OUT,新明和,9099,56
MPSH,2,20211229,20220228,OUT,SHINMAYWA,1900,121375500,SFC-020DA2-6B-8B,10,RMB,148,,2301,MPTJ,OUT,新明和,9099,57
MPSH,2,20211229,20220228,OUT,SHINMAYWA,1900,121386100,SFC-030DA2-8B-14B,20,RMB,157,,2301,MPTJ,OUT,新明和,9099,58
MPSH,2,20211229,20220218,OUT,ANSEN,8000,104298100,CF-X-008-O0,250,RMB,130,,2101,MPJP,IN,小松（山东）,0510,59
MPSH,2,20211229,20220218,OUT,ANSEN,8000,104298100,CF-X-008-O0,200,RMB,130,,2101,MPJP,IN,小松（山东）,0510,60
MPSH,2,20211229,20211129,OUT,ANSEN,8000,,SFF-100DS-38KK-55KM,43,RMB,465,,2302,MPTJ,OUT,华都精工,1090,61
MPSH,2,20211229,20220107,OUT,MISUMI,8000,121931800,SFC-050SA2-19B-22B,2,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,62
MPSH,2,20211229,20211229,OUT,MISUMI,8000,121568000,SFC-030SA2-10B-10B,1,RMB,100.85,,2301,MPTJ,OUT,米思米,8020,63
MPSH,2,20211229,20220314,OUT,MISUMI,8000,121758000,SFC-030DA2-12B-14B,1,RMB,128.21,,2301,MPTJ,OUT,米思米,8020,64
MPSH,2,20211229,20220220,OUT,KAMPF,8000,668974,587.15.5.1(668974),15,RMB,3400,,1501,其他,OUT,康甫机械,9090,65
MPSH,2,20211229,20210720,OUT,POLYSTAR,1900,,QY40P,20,RMB,369.9115,,3302,其他,OUT,包利思特,1910,66
MPSH,2,20211229,20210730,OUT,POLYSTAR,1900,,QY40P,10,RMB,369.9115,,3302,其他,OUT,包利思特,1910,67
MPSH,2,20211229,20210730,OUT,POLYSTAR,1900,,QY40P,1,RMB,369.9115,,3302,其他,OUT,包利思特,1910,68
MPSH,2,20211229,20211120,OUT,POLYSTAR,1900,,QY40P,10,RMB,369.9115,,3302,其他,OUT,包利思特,1910,69
MPSH,2,20211229,20220105,OUT,YACHIYO,8000,121923700,SFC-060DA2-24B-30B,1,RMB,397,,2301,MPTJ,OUT,武汉牧野,1030,70
MPSH,2,20211229,20220430,OUT,POLYSTAR,1900,,QY40P,20,RMB,369.9115,,3302,其他,OUT,包利思特,9099,71
MPSH,2,20211229,20220225,OUT,HONG JIN XIN,8000,125360600,BXW-03-10R-24V-11,100,RMB,282,,1201,MPTW,OUT,深圳鹰诺,1590,72
MPSH,2,20211229,20220118,OUT,BITPASS,8000,,SFF-100DS-38KK-42KK,1,RMB,558,,2302,MPTJ,OUT,四川志方,1510,73
MPSH,2,20211229,20211231,OUT,BITPASS,8000,121758000,SFC-030DA2-12B-14B,20,RMB,61,,2301,MPTJ,OUT,昆山杰士德,1190,74
MPSH,2,20211229,20220106,OUT,FTS-SHENZHENG,8000,121386100,SFC-030DA2-8B-14B,2,RMB,107,,2301,MPTJ,OUT,深圳易天,1190,75
MPSH,2,20211229,20220208,OUT,BITPASS,8000,129723200,SFF-120SS-45K-55K-600N,4,RMB,768,,2302,MPJP,IN,青岛大东,1020,76
MPSH,2,20211229,20220208,OUT,BITPASS,8000,125188900,SFF-080DS-22K-25K,1,RMB,410,,2302,MPTJ,OUT,青岛大东,1020,77
MPSH,2,20211229,20220120,OUT,BITPASS,8000,122167000,SFF-080SS-25K-25K,2,RMB,357,,2302,MPTJ,OUT,上海仕泽,9004,78
MPSH,2,20211229,20211201,OUT,BITPASS,8000,104298100,CF-X-008-O0,50,RMB,130,,2101,MPJP,IN,无锡洋马,9099,79
MPSH,2,20211229,20211201,OUT,BITPASS,8000,104298100,CF-X-008-O0,50,RMB,130,,2101,MPJP,IN,无锡洋马,9099,80
MPSH,2,20211229,20211201,OUT,BITPASS,8000,104298100,CF-X-008-O0,50,RMB,130,,2101,MPJP,IN,无锡洋马,9099,81
MPSH,2,20211229,20220105,OUT,ACE,8000,122769000,ALS-055-R,27,RMB,84,,2202,MPTJ,OUT,,,82
MPSH,2,20211229,20220105,OUT,ACE,8000,,ALS-080ARN-38BHA-40BHA,10,RMB,227,,2202,MPTJ,OUT,,,83
MPSH,2,20211229,20220105,OUT,ACE,8000,,AK-185-MAT-28N,10,RMB,470,,3101,MPTJ,OUT,,,84
MPSH,2,20211229,20220105,OUT,ACE,8000,123026000,SFC-100SA2-35B-40B,1,RMB,364,,2301,MPTJ,OUT,,,85
MPSH,2,20211229,20220105,OUT,ACE,8000,,ALS-030ARN-8BHA-12BHA,2,RMB,55,,2202,MPTJ,OUT,,,86
MPSH,2,20211229,20211229,OUT,ACE,8000,121912800,SFC-060SA2-18B-30B,1,RMB,258,,2301,MPTJ,OUT,,,87
MPSH,2,20211229,20220107,OUT,ACE,8000,,SFF-120DS-45K-55KK-600N,1,RMB,1465,,2302,MPJP,IN,,,88
MPSH,2,20211229,20220105,OUT,ACE,8000,,PE-185-MAT-22K,20,RMB,270,,3101,MPTJ,OUT,富豪木工,9003,89
MPSH,2,20211229,20220105,OUT,ACE,8000,129024300,SFC-035DA2-12B-19B,50,RMB,99,,2301,MPTJ,OUT,济南金威刻,1030,90
MPSH,2,20211229,20211201,OUT,ACE,8000,,SFF-090SS-40KK-45K,60,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,91
MPSH,2,20211229,20211103,OUT,ACE,8000,,SFF-090SS-40KK-45K,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,92
MPSH,2,20211229,20211203,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,5,RMB,676,,2302,MPJP,IN,宁波海天,1010,93
MPSH,2,20211229,20220202,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,30,RMB,676,,2302,MPJP,IN,宁波海天,1010,94
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFC-080DA2-T088,50,RMB,225,,2301,MPTJ,OUT,杭州友佳,1010,95
MPSH,2,20211229,20220304,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,15,RMB,676,,2302,MPJP,IN,宁波海天,1010,96
MPSH,2,20211229,20220121,OUT,ACE,8000,129837400,SFF-120DS-40K-40KK-600N,31,RMB,676,,2302,MPJP,IN,宁波海天,1010,97
MPSH,2,20211229,20211229,OUT,ACE,8000,,SFF-080SS-35K-35KS,5,RMB,306,,2302,MPTJ,OUT,宁波海天,1010,98
MPSH,2,20211229,20211229,OUT,ACE,8000,,SRG-060AS-32K-35KS,9,RMB,159,,2303,MPTJ,OUT,宁波海天,1010,99
MPSH,2,20211229,20211229,OUT,ACE,8000,,111-08-13N 24V,40,RMB,97,,1301,MPTJ,OUT,瑞一五金,9099,100
MPSH,2,20211229,20220105,OUT,ACE,8000,121776100,SFC-010DA2-5B-8B,50,RMB,93,,2301,MPTJ,OUT,上海天旋,1190,101
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFF-070SS-24KK-35KS,2,RMB,305,,2302,MPTJ,OUT,,,102
MPSH,2,20211229,20220105,OUT,ACE,8000,,111-12-11N 24V 25JIS,1,RMB,247,,1301,MPTJ,OUT,,,103
MPSH,2,20211229,20220311,OUT,NICHIDEN,8000,128749700,BXR-035-10LE-062,22,RMB,423,,1201,MPJP,IN,东莞新友智能,9099,104
MPSH,2,20211229,20220105,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,105
MPSH,2,20211229,20220105,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,106
MPSH,2,20211229,20220106,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,107
MPSH,2,20211229,20220209,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,108
MPSH,2,20211229,20220105,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,2,RMB,154,,2301,MPTJ,OUT,新明和,9099,109
MPSH,2,20211229,20220211,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,110
MPSH,2,20211229,20220211,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,111
MPSH,2,20211229,20220228,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,112
MPSH,2,20211229,20220301,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,113
MPSH,2,20211229,20220225,OUT,SHINMAYWA,1900,121776100,SFC-010DA2-5B-8B,20,RMB,154,,2301,MPTJ,OUT,新明和,9099,114
MPSH,2,20211229,20220304,OUT,ANSEN,8000,071082300,AL-090,200,RMB,52,,2202,MPJP,IN,上海启翔,2390,115
MPSH,2,20211229,20220110,OUT,ANSEN,8000,,SFF-100DS-42KJ-55KJ,10,RMB,511,,2302,MPTJ,OUT,广东台一,1910,116
MPSH,2,20211229,20220104,OUT,ANSEN,8000,,111-10-12N 24V 25JIS,8,RMB,181,,1301,MPTJ,OUT,,,117
MPSH,2,20211229,20220108,OUT,ANSEN,8000,,ALS-040AYN-20BHA-20BHA,4,RMB,71,,2202,MPTJ,OUT,,,118
MPSH,2,20211229,20220115,OUT,ANSEN,8000,121454900,SFC-020DA2-8B-8B,2,RMB,118,,2301,MPTJ,OUT,,,119
MPSH,2,20211229,20220103,OUT,ANSEN,8000,121437500,SFC-030DA2-10B-14B,10,RMB,126,,2301,MPTJ,OUT,,,120
MPSH,2,20211229,20220204,OUT,ANSEN,8000,121516800,BXW-04-10L-24V-10,1,RMB,177,,1201,MPJP,IN,,,121
MPSH,2,20211229,20211105,OUT,ANSEN,8000,,BXW-01-10R-24V(本体）,1000,RMB,103,,1401,MPTW,OUT,苏州汇川,0140,122
MPSH,2,20211229,20220105,OUT,ACE,8000,,111-08-11N 24V 15DIN,1,RMB,140,,1301,MPTJ,OUT,,,123
MPSH,2,20211229,20220105,OUT,ACE,8000,123141000,PSL-D-8,12,RMB,152,,2602,MPTJ,OUT,,,124
MPSH,2,20211229,20220204,OUT,ACE,8000,105646700,ETP-A-55,1,RMB,826,,2601,MPJP,IN,,,125
MPSH,2,20211229,20211208,OUT,ACE,8000,122740600,ALS-040-R,2,RMB,52,,2202,MPJP,IN,,,126
MPSH,2,20211229,20211201,OUT,ACE,8000,,SFF-090SS-35K-40KK,30,RMB,362,,2302,MPTJ,OUT,宁波海天,1010,127
MPSH,2,20211229,20211103,OUT,ACE,8000,,SFF-090SS-40K-40KK,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,128
MPSH,2,20211229,20211124,OUT,ACE,8000,,SFF-090SS-35K-40KK,25,RMB,362,,2302,MPTJ,OUT,宁波海天,1010,129
MPSH,2,20211229,20220105,OUT,ACE,8000,123020900,SFC-090SA2-35B-35B,1,RMB,246,,2301,MPTJ,OUT,杭州友佳,1010,130
MPSH,2,20211229,20211215,OUT,ACE,8000,125242800,SRG-060AS-35K-35KS,40,RMB,159,,2303,MPTJ,OUT,宁波海天,1010,131
MPSH,2,20211229,20220121,OUT,ACE,8000,126813500,SFH-190S-T015,8,RMB,2509,,2302,MPJP,IN,宁波海天,1010,132
MPSH,2,20211229,20211229,OUT,ACE,8000,,SFF-090SS-40K-40KK,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,133
MPSH,2,20211229,20211229,OUT,ACE,8000,123020900,SFC-090SA2-35B-35B,50,RMB,246,,2301,MPTJ,OUT,杭州友佳,1010,134
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFF-090SS-35K-40KK,15,RMB,362,,2302,MPTJ,OUT,宁波海天,1010,135
MPSH,2,20211229,20220105,OUT,ACE,8000,,SFF-090SS-40K-40KK,10,RMB,341,,2302,MPTJ,OUT,宁波海天,1010,136
MPSH,2,20211229,20220301,OUT,NICHIDEN,8000,128747800,BXR-025-10LE-032,200,RMB,198,,1201,MPJP,IN,东莞新友智能,9099,137
MPSH,2,20211229,20211217,OUT,ANSEN,8000,108922800,NSS 10.9.12,3,RMB,3200,,2902,MPJP,IN,安庆恒昌,1640,138
MPSH,2,20211229,20220221,OUT,ANSEN,8000,122740600,ALS-040-R,500,RMB,52,,2202,MPJP,IN,,,139
MPSH,2,20211229,20211220,OUT,ANSEN,8000,,SFF-090DS-35K-42K,30,RMB,462,,2302,MPTJ,OUT,,,140
MPSH,2,20211229,20211213,OUT,ANSEN,8000,122681800,SFF-090SS-32K-35K,20,RMB,410,,2302,MPTJ,OUT,,,141
MPSH,2,20211229,20220121,OUT,ANSEN,8000,123434700,CS-16-35G 24V R30DIN A30DIN,2,RMB,2050,,1301,MPJP,IN,,,142
MPSH,2,20211229,20220121,OUT,ANSEN,8000,105659100,RSE-15,8,RMB,289,,2503,MPJP,IN,,,143
MPSH,2,20211229,20220103,OUT,ANSEN,8000,121809900,SFC-060SA2-28B-28B,2,RMB,258,,2301,MPTJ,OUT,,,144
MPSH,2,20211229,20220103,OUT,ANSEN,8000,121945800,SFC-050DA2-22B-22B,3,RMB,204,,2301,MPTJ,OUT,山东鲁南,1010,145
MPSH,2,20211229,20220110,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,430,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,146
MPSH,2,20211229,20220110,OUT,STAR PRECISION,1000,,SFC-050SA2-T212,140,RMB,153,,2301,MPTJ,OUT,斯大精密,1090,147
MPSH,2,20211229,20220108,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,290,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,148
MPSH,2,20211229,20220208,OUT,STAR PRECISION,1000,,SFC-050SA2-T171,380,RMB,186,,2301,MPTJ,OUT,斯大精密,1090,149
MPSH,2,20211229,20211231,,ZZYWK,8000,,SFC-050SA2-15.875B-22B,2,RMB,320,,2301,MPTJ,OUT,中冶迈克,1590,150
MPSH,2,20211229,20220215,OUT,TAKAMAZZHANGHZ,1000,123070800,SFC-080SA2-T002,10,RMB,380.342,,2301,MPTJ,OUT,友嘉高松,1090,151
MPSH,2,20211229,20220118,OUT,TAKAMAZZHANGHZ,1000,123070800,SFC-080SA2-T002,20,RMB,380.342,,2301,MPTJ,OUT,友嘉高松,1090,152
MPSH,2,20211229,20220315,OUT,TAKAMAZZHANGHZ,1000,123070800,SFC-080SA2-T002,20,RMB,380.342,,2301,MPTJ,OUT,友嘉高松,1090,153
MPSH,2,20211229,20220105,OUT,MISUMI,8000,121881400,SFC-020DA2-7B-8B,2,RMB,121.37,,2301,MPTJ,OUT,米思米,8020,154
MPSH,2,20211229,20211230,OUT,CHANGZHOU LEINIER,8000,,101-08-13N 24V 15JIS,15,RMB,159,,1301,MPTJ,OUT,钰邦电子,1190,155
MPSH,2,20211229,20220104,OUT,OKUMA,1000,125242800,SRG-060AS-35K-35KS,15,RMB,171,,2303,MPTJ,OUT,北一大隈,1090,156
MPSH,2,20211229,20220104,OUT,OKUMA,1000,123146000,PSL-G-30,4,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,157
MPSH,2,20211229,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,8,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,158
MPSH,2,20211229,20220104,OUT,OKUMA,1000,123146000,PSL-G-30,10,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,159
MPSH,2,20211229,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,6,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,160
MPSH,2,20211229,20220125,OUT,OKUMA,1000,123146000,PSL-G-30,1,RMB,109,,2602,MPTJ,OUT,北一大隈,1090,161
